Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price
Mercedes-Benz,Cruze,1.418475352,Electric,2013,61837,34792
Toyota,A4,4.492330457,Electric,2003,128993,27129
Audi,C-Class,4.739374656,Electric,2000,81362,29141
Nissan,Model 3,3.128422862,Petrol,2011,168204,24731
Mercedes-Benz,Golf,1.650278608,Diesel,2006,119405,27493
Volkswagen,A4,1.07180836,Petrol,2021,39042,48672
Chevrolet,Model 3,2.561439944,Hybrid,2016,125688,7353
BMW,Fiesta,1.989981058,Petrol,2017,42720,16967
Mercedes-Benz,Civic,3.928227263,Electric,2007,20045,44528
Chevrolet,Cruze,3.954781828,Electric,2013,156771,18713
Tesla,Golf,1.077196351,Electric,2007,104018,15042
Volkswagen,A4,2.090877468,Diesel,2000,173585,39625
Chevrolet,A4,4.650419085,Diesel,2006,178755,44913
Nissan,C-Class,1.770786172,Petrol,2013,174943,33005
Honda,Fiesta,3.483901548,Electric,2004,11369,42344
Mercedes-Benz,Model 3,2.675825671,Electric,2003,173706,13434
Toyota,Fiesta,2.837095477,Diesel,2001,2687,29800
BMW,Golf,2.052382906,Hybrid,2010,58110,44784
Chevrolet,Altima,2.425713244,Diesel,2001,60048,16666
Nissan,Fiesta,3.679236278,Hybrid,2005,100029,1282
Mercedes-Benz,3 Series,2.263592395,Diesel,2020,151833,49646
Chevrolet,Civic,3.017014331,Diesel,2009,132797,38379
Chevrolet,3 Series,3.279232107,Hybrid,2017,20275,4959
Volkswagen,Golf,2.530937194,Electric,2015,96344,26846
Chevrolet,A4,1.776322868,Hybrid,2007,97167,4429
Volkswagen,Cruze,3.715583513,Electric,2015,124401,11455
Honda,Corolla,1.085409089,Electric,2004,110057,35440
Audi,Model 3,1.982665712,Diesel,2011,127674,9858
BMW,Civic,3.02239702,Diesel,2018,13603,2560
Nissan,Model 3,1.567227263,Petrol,2002,78393,32765
Nissan,A4,2.259533299,Diesel,2018,156634,15681
Toyota,Fiesta,1.725756742,Hybrid,2007,82108,31740
BMW,Golf,4.257103883,Petrol,2016,56223,25835
Audi,Altima,4.117661457,Hybrid,2010,135062,27303
Chevrolet,Golf,1.590460291,Hybrid,2002,36955,40016
Honda,C-Class,3.452572416,Hybrid,2007,69137,40656
Nissan,3 Series,3.017049806,Electric,2014,6465,41809
Mercedes-Benz,3 Series,1.242280101,Hybrid,2021,96676,36589
Nissan,Cruze,4.369018185,Hybrid,2007,181625,9435
Volkswagen,Fiesta,4.421982716,Diesel,2001,191659,28629
Tesla,C-Class,1.202503514,Hybrid,2021,126781,25860
Mercedes-Benz,A4,3.464873831,Diesel,2013,192595,24969
Honda,Civic,2.86750655,Electric,2012,99977,13478
Honda,Fiesta,3.921619456,Electric,2006,43833,10826
Audi,A4,2.629145165,Diesel,2008,43464,12273
Toyota,Golf,3.790203741,Petrol,2013,120624,39076
Volkswagen,A4,1.331627867,Hybrid,2011,47084,1166
Honda,Fiesta,2.345307247,Petrol,2015,35536,4500
Ford,Cruze,3.373189289,Petrol,2000,25417,18082
Ford,Model 3,1.701680209,Petrol,2012,35726,24096
Tesla,C-Class,2.61906231,Hybrid,2016,75691,27279
Tesla,Model 3,2.719449693,Hybrid,2006,28123,40425
Nissan,A4,1.501779858,Petrol,2021,180595,27823
Audi,Cruze,2.286836647,Hybrid,2018,169358,6684
Nissan,3 Series,3.637880404,Hybrid,2017,27336,30857
Ford,Altima,2.468536298,Diesel,2005,115834,9833
Audi,3 Series,3.544215749,Diesel,2012,150847,20805
Ford,Corolla,4.867807802,Electric,2010,181501,33684
Nissan,Civic,2.254322949,Hybrid,2010,153243,18767
Tesla,Model 3,2.547523121,Hybrid,2002,7010,20455
Nissan,A4,3.808389238,Electric,2007,35959,3656
BMW,Altima,1.928433298,Electric,2009,192748,34462
Tesla,Corolla,1.713237304,Petrol,2017,6071,7098
Honda,3 Series,1.379312106,Diesel,2004,175696,25869
Mercedes-Benz,Civic,2.905075688,Electric,2016,64391,31759
Tesla,3 Series,4.534568685,Hybrid,2008,55979,48854
Toyota,Golf,4.574176809,Diesel,2008,192495,21051
Audi,Corolla,1.931703996,Petrol,2017,64994,14151
Nissan,Model 3,1.685576232,Electric,2021,173545,32530
